#separator:tab
#html:true
#notetype:Hebrew Root
#deck:Biblical Hebrew::Root Deck
#columns:Front	Back	Frequency	Tags
#tags column:4
מרה	<div style="font-size:1.5em;direction:rtl;margin-bottom:8px">מָרָה</div><table style="border-collapse:collapse;margin-bottom:8px"><tr><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Stem</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Qal</td><td style="padding:2px 8px;font-style:italic">rebellious</td><td style="text-align:right;padding:2px 8px">23</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Hiphil</td><td style="padding:2px 8px;font-style:italic">they rebelled</td><td style="text-align:right;padding:2px 8px">20</td></tr></table><table style="border-collapse:collapse"><tr><th style="padding:2px 8px">Form</th><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="direction:rtl;padding:2px 8px">מְרִי</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">bitterness</td><td style="text-align:right;padding:2px 8px">23</td></tr></table>	93	Hebrew:Root Hebrew:POS:Verb Hebrew:Stem:Qal Hebrew:Stem:Hiphil Hebrew:POS:Nominal Hebrew:Freq:50to99
קרע	<div style="font-size:1.5em;direction:rtl;margin-bottom:8px">קָרַע</div><table style="border-collapse:collapse;margin-bottom:8px"><tr><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Stem</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Qal</td><td style="padding:2px 8px;font-style:italic">he tore</td><td style="text-align:right;padding:2px 8px">52</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Niphal</td><td style="padding:2px 8px;font-style:italic">it will be torn</td><td style="text-align:right;padding:2px 8px">5</td></tr></table><table style="border-collapse:collapse"><tr><th style="padding:2px 8px">Form</th><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="direction:rtl;padding:2px 8px">קְעָרָה</td><td style="padding:2px 8px">Noun (f)</td><td style="padding:2px 8px;font-style:italic">bowl</td><td style="text-align:right;padding:2px 8px">17</td></tr><tr><td style="direction:rtl;padding:2px 8px">קַרְקַע</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">floor</td><td style="text-align:right;padding:2px 8px">8</td></tr><tr><td style="direction:rtl;padding:2px 8px">קֶרַע</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">rag</td><td style="text-align:right;padding:2px 8px">4</td></tr></table>	93	Hebrew:Root Hebrew:POS:Verb Hebrew:Stem:Qal Hebrew:Stem:Niphal Hebrew:POS:Nominal Hebrew:Freq:50to99
ארי	<div style="font-size:1.5em;direction:rtl;margin-bottom:8px">אֲרִי</div><table style="border-collapse:collapse"><tr><th style="padding:2px 8px">Form</th><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="direction:rtl;padding:2px 8px">אַרְיֵה</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">lion.</td><td style="text-align:right;padding:2px 8px">10</td></tr></table>	92	Hebrew:Root Hebrew:POS:Nominal Hebrew:Freq:50to99
מעל	<div style="font-size:1.5em;direction:rtl;margin-bottom:8px">מָעַל</div><table style="border-collapse:collapse;margin-bottom:8px"><tr><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Stem</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Qal</td><td style="padding:2px 8px;font-style:italic">they acted unfaithfully</td><td style="text-align:right;padding:2px 8px">35</td></tr></table><table style="border-collapse:collapse"><tr><th style="padding:2px 8px">Form</th><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="direction:rtl;padding:2px 8px">מְעִיל</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">robe</td><td style="text-align:right;padding:2px 8px">28</td></tr><tr><td style="direction:rtl;padding:2px 8px">מַעַל</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">treachery</td><td style="text-align:right;padding:2px 8px">28</td></tr></table>	92	Hebrew:Root Hebrew:POS:Verb Hebrew:Stem:Qal Hebrew:POS:Nominal Hebrew:Freq:50to99
נדב	<div style="font-size:1.5em;direction:rtl;margin-bottom:8px">נָדַב</div><table style="border-collapse:collapse;margin-bottom:8px"><tr><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Stem</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Qal</td><td style="padding:2px 8px;font-style:italic">it impelled</td><td style="text-align:right;padding:2px 8px">2</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Hithpael</td><td style="padding:2px 8px;font-style:italic">make a contribution</td><td style="text-align:right;padding:2px 8px">13</td></tr></table><table style="border-collapse:collapse"><tr><th style="padding:2px 8px">Form</th><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="direction:rtl;padding:2px 8px">נְדָבָה</td><td style="padding:2px 8px">Noun (f)</td><td style="padding:2px 8px;font-style:italic">spontaneity</td><td style="text-align:right;padding:2px 8px">26</td></tr><tr><td style="direction:rtl;padding:2px 8px">נָדִיב</td><td style="padding:2px 8px">Adj</td><td style="padding:2px 8px;font-style:italic">voluntary</td><td style="text-align:right;padding:2px 8px">26</td></tr><tr><td style="direction:rtl;padding:2px 8px">נְדִיבָה</td><td style="padding:2px 8px">Noun (f)</td><td style="padding:2px 8px;font-style:italic">nobility</td><td style="text-align:right;padding:2px 8px">1</td></tr></table>	92	Hebrew:Root Hebrew:POS:Verb Hebrew:Stem:Qal Hebrew:Stem:Hithpael Hebrew:POS:Nominal Hebrew:Freq:50to99
שמד	<div style="font-size:1.5em;direction:rtl;margin-bottom:8px">שָׁמַד</div><table style="border-collapse:collapse;margin-bottom:8px"><tr><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Stem</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Niphal</td><td style="padding:2px 8px;font-style:italic">it will be destroyed</td><td style="text-align:right;padding:2px 8px">12</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Hiphil</td><td style="padding:2px 8px;font-style:italic">destroy</td><td style="text-align:right;padding:2px 8px">44</td></tr></table>	91	Hebrew:Root Hebrew:POS:Verb Hebrew:Stem:Niphal Hebrew:Stem:Hiphil Hebrew:Freq:50to99
חרם	<div style="font-size:1.5em;direction:rtl;margin-bottom:8px">חָרַם</div><table style="border-collapse:collapse;margin-bottom:8px"><tr><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Stem</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Qal</td><td style="padding:2px 8px;font-style:italic">[having] a slit nose</td><td style="text-align:right;padding:2px 8px">1</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Hiphil</td><td style="padding:2px 8px;font-style:italic">he totally destroyed</td><td style="text-align:right;padding:2px 8px">36</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Hophal</td><td style="padding:2px 8px;font-style:italic">he will be dedicated to destruction</td><td style="text-align:right;padding:2px 8px">3</td></tr></table><table style="border-collapse:collapse"><tr><th style="padding:2px 8px">Form</th><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="direction:rtl;padding:2px 8px">חֶרְמֵשׁ</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">sickle</td><td style="text-align:right;padding:2px 8px">2</td></tr></table>	90	Hebrew:Root Hebrew:POS:Verb Hebrew:Stem:Qal Hebrew:Stem:Hiphil Hebrew:Stem:Hophal Hebrew:POS:Nominal Hebrew:Freq:50to99
כרר	<div style="font-size:1.5em;direction:rtl;margin-bottom:8px">כָּרַר</div><table style="border-collapse:collapse;margin-bottom:8px"><tr><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Stem</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Piel</td><td style="padding:2px 8px;font-style:italic">[was] dancing</td><td style="text-align:right;padding:2px 8px">2</td></tr></table><table style="border-collapse:collapse"><tr><th style="padding:2px 8px">Form</th><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="direction:rtl;padding:2px 8px">כִּכָּר</td><td style="padding:2px 8px">Noun (f)</td><td style="padding:2px 8px;font-style:italic">circle</td><td style="text-align:right;padding:2px 8px">68</td></tr><tr><td style="direction:rtl;padding:2px 8px">כַּר</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">ram</td><td style="text-align:right;padding:2px 8px">16</td></tr><tr><td style="direction:rtl;padding:2px 8px">כָּרִי</td><td style="padding:2px 8px">Adj</td><td style="padding:2px 8px;font-style:italic">life-guardsman</td><td style="text-align:right;padding:2px 8px">2</td></tr><tr><td style="direction:rtl;padding:2px 8px">כָּרָה</td><td style="padding:2px 8px">Noun (f)</td><td style="padding:2px 8px;font-style:italic">meadow</td><td style="text-align:right;padding:2px 8px">1</td></tr><tr><td style="direction:rtl;padding:2px 8px">כַּרְכָּרָה</td><td style="padding:2px 8px">Noun (f)</td><td style="padding:2px 8px;font-style:italic">dromedary</td><td style="text-align:right;padding:2px 8px">1</td></tr></table>	90	Hebrew:Root Hebrew:POS:Verb Hebrew:Stem:Piel Hebrew:POS:Nominal Hebrew:Freq:50to99
שיר	<div style="font-size:1.5em;direction:rtl;margin-bottom:8px">שִׁיר</div>	90	Hebrew:Root Hebrew:Freq:50to99
נגף	<div style="font-size:1.5em;direction:rtl;margin-bottom:8px">נָגַף</div><table style="border-collapse:collapse;margin-bottom:8px"><tr><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Stem</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Qal</td><td style="padding:2px 8px;font-style:italic">he struck</td><td style="text-align:right;padding:2px 8px">20</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Niphal</td><td style="padding:2px 8px;font-style:italic">they were defeated</td><td style="text-align:right;padding:2px 8px">23</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Hithpael</td><td style="padding:2px 8px;font-style:italic">they will stumble</td><td style="text-align:right;padding:2px 8px">1</td></tr></table><table style="border-collapse:collapse"><tr><th style="padding:2px 8px">Form</th><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="direction:rtl;padding:2px 8px">מַגֵּפָה</td><td style="padding:2px 8px">Noun (f)</td><td style="padding:2px 8px;font-style:italic">pestilence</td><td style="text-align:right;padding:2px 8px">26</td></tr><tr><td style="direction:rtl;padding:2px 8px">אַגָּף</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">wings of an army</td><td style="text-align:right;padding:2px 8px">7</td></tr><tr><td style="direction:rtl;padding:2px 8px">נֶגֶף</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">trip</td><td style="text-align:right;padding:2px 8px">7</td></tr></table>	89	Hebrew:Root Hebrew:POS:Verb Hebrew:Stem:Qal Hebrew:Stem:Niphal Hebrew:Stem:Hithpael Hebrew:POS:Nominal Hebrew:Freq:50to99
אצר	<div style="font-size:1.5em;direction:rtl;margin-bottom:8px">אָצַר</div><table style="border-collapse:collapse;margin-bottom:8px"><tr><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Stem</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Qal</td><td style="padding:2px 8px;font-style:italic">they have stored up</td><td style="text-align:right;padding:2px 8px">3</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Niphal</td><td style="padding:2px 8px;font-style:italic">it will be stored up</td><td style="text-align:right;padding:2px 8px">1</td></tr></table><table style="border-collapse:collapse"><tr><th style="padding:2px 8px">Form</th><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="direction:rtl;padding:2px 8px">אוֹצָר</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">depository</td><td style="text-align:right;padding:2px 8px">79</td></tr></table>	89	Hebrew:Root Hebrew:POS:Verb Hebrew:Stem:Qal Hebrew:Stem:Niphal Hebrew:POS:Nominal Hebrew:Freq:50to99
קיר	<div style="font-size:1.5em;direction:rtl;margin-bottom:8px">קִיר</div><table style="border-collapse:collapse;margin-bottom:8px"><tr><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Stem</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Qal</td><td style="padding:2px 8px;font-style:italic">I have dug</td><td style="text-align:right;padding:2px 8px">2</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Hiphil</td><td style="padding:2px 8px;font-style:italic">as/ keeps cool</td><td style="text-align:right;padding:2px 8px">2</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Piel</td><td style="padding:2px 8px;font-style:italic">a breaking down of</td><td style="text-align:right;padding:2px 8px">1</td></tr></table><table style="border-collapse:collapse"><tr><th style="padding:2px 8px">Form</th><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="direction:rtl;padding:2px 8px">קוּר</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">trenches</td><td style="text-align:right;padding:2px 8px">2</td></tr></table>	89	Hebrew:Root Hebrew:POS:Verb Hebrew:Stem:Qal Hebrew:Stem:Hiphil Hebrew:Stem:Piel Hebrew:POS:Nominal Hebrew:Freq:50to99
שלל	<div style="font-size:1.5em;direction:rtl;margin-bottom:8px">שָׁלַל</div><table style="border-collapse:collapse;margin-bottom:8px"><tr><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Stem</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Qal</td><td style="padding:2px 8px;font-style:italic">plunder</td><td style="text-align:right;padding:2px 8px">11</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Pual</td><td style="padding:2px 8px;font-style:italic">they were plundered</td><td style="text-align:right;padding:2px 8px">1</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Hithpael</td><td style="padding:2px 8px;font-style:italic">[was] plundered</td><td style="text-align:right;padding:2px 8px">1</td></tr></table><table style="border-collapse:collapse"><tr><th style="padding:2px 8px">Form</th><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="direction:rtl;padding:2px 8px">שָׁלָל</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">booty</td><td style="text-align:right;padding:2px 8px">73</td></tr></table>	89	Hebrew:Root Hebrew:POS:Verb Hebrew:Stem:Qal Hebrew:Stem:Pual Hebrew:Stem:Hithpael Hebrew:POS:Nominal Hebrew:Freq:50to99
המון	<div style="font-size:1.5em;direction:rtl;margin-bottom:8px">הָמוֹן</div>	88	Hebrew:Root Hebrew:Freq:50to99
נכר	<div style="font-size:1.5em;direction:rtl;margin-bottom:8px">נָכַר</div><table style="border-collapse:collapse;margin-bottom:8px"><tr><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Stem</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Niphal</td><td style="padding:2px 8px;font-style:italic">he disguises himself</td><td style="text-align:right;padding:2px 8px">2</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Hiphil</td><td style="padding:2px 8px;font-style:italic">he recognized</td><td style="text-align:right;padding:2px 8px">25</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Piel</td><td style="padding:2px 8px;font-style:italic">they should misconstrue</td><td style="text-align:right;padding:2px 8px">5</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Hithpael</td><td style="padding:2px 8px;font-style:italic">he acted as a stranger</td><td style="text-align:right;padding:2px 8px">4</td></tr></table><table style="border-collapse:collapse"><tr><th style="padding:2px 8px">Form</th><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="direction:rtl;padding:2px 8px">נֵכָר</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">foreign</td><td style="text-align:right;padding:2px 8px">36</td></tr><tr><td style="direction:rtl;padding:2px 8px">מַכָּר</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">acquaintance</td><td style="text-align:right;padding:2px 8px">2</td></tr><tr><td style="direction:rtl;padding:2px 8px">הַכָּרָה</td><td style="padding:2px 8px">Noun (f)</td><td style="padding:2px 8px;font-style:italic">respect</td><td style="text-align:right;padding:2px 8px">1</td></tr></table>	88	Hebrew:Root Hebrew:POS:Verb Hebrew:Stem:Niphal Hebrew:Stem:Hiphil Hebrew:Stem:Piel Hebrew:Stem:Hithpael Hebrew:POS:Nominal Hebrew:Freq:50to99
למד	<div style="font-size:1.5em;direction:rtl;margin-bottom:8px">לָמַד</div><table style="border-collapse:collapse;margin-bottom:8px"><tr><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Stem</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Qal</td><td style="padding:2px 8px;font-style:italic">they will learn</td><td style="text-align:right;padding:2px 8px">21</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Piel</td><td style="padding:2px 8px;font-style:italic">teach</td><td style="text-align:right;padding:2px 8px">28</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Pual</td><td style="padding:2px 8px;font-style:italic">trained of</td><td style="text-align:right;padding:2px 8px">5</td></tr></table><table style="border-collapse:collapse"><tr><th style="padding:2px 8px">Form</th><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="direction:rtl;padding:2px 8px">מַלְמָד</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">goad</td><td style="text-align:right;padding:2px 8px">1</td></tr><tr><td style="direction:rtl;padding:2px 8px">תַּלְמִיד</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">pupil</td><td style="text-align:right;padding:2px 8px">1</td></tr></table>	88	Hebrew:Root Hebrew:POS:Verb Hebrew:Stem:Qal Hebrew:Stem:Piel Hebrew:Stem:Pual Hebrew:POS:Nominal Hebrew:Freq:50to99
עשר	<div style="font-size:1.5em;direction:rtl;margin-bottom:8px">עָשַׁר</div><table style="border-collapse:collapse;margin-bottom:8px"><tr><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Stem</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Qal</td><td style="padding:2px 8px;font-style:italic">he will take a tenth</td><td style="text-align:right;padding:2px 8px">4</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Hiphil</td><td style="padding:2px 8px;font-style:italic">tithe</td><td style="text-align:right;padding:2px 8px">14</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Piel</td><td style="padding:2px 8px;font-style:italic">fully <tithe></td><td style="text-align:right;padding:2px 8px">4</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Hithpael</td><td style="padding:2px 8px;font-style:italic">[is one who] enriches himself</td><td style="text-align:right;padding:2px 8px">1</td></tr></table><table style="border-collapse:collapse"><tr><th style="padding:2px 8px">Form</th><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="direction:rtl;padding:2px 8px">עֹשֶׁר</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">wealth</td><td style="text-align:right;padding:2px 8px">37</td></tr><tr><td style="direction:rtl;padding:2px 8px">עָשִׁיר</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">rich</td><td style="text-align:right;padding:2px 8px">16</td></tr><tr><td style="direction:rtl;padding:2px 8px">עַשְׁתְּרָה</td><td style="padding:2px 8px">Noun (f)</td><td style="padding:2px 8px;font-style:italic">increase</td><td style="text-align:right;padding:2px 8px">4</td></tr></table>	87	Hebrew:Root Hebrew:POS:Verb Hebrew:Stem:Qal Hebrew:Stem:Hiphil Hebrew:Stem:Piel Hebrew:Stem:Hithpael Hebrew:POS:Nominal Hebrew:Freq:50to99
יצר	<div style="font-size:1.5em;direction:rtl;margin-bottom:8px">יָצַר</div><table style="border-collapse:collapse;margin-bottom:8px"><tr><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Stem</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Qal</td><td style="padding:2px 8px;font-style:italic">it was distress</td><td style="text-align:right;padding:2px 8px">31</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Niphal</td><td style="padding:2px 8px;font-style:italic">it was formed</td><td style="text-align:right;padding:2px 8px">1</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Hiphil</td><td style="padding:2px 8px;font-style:italic">they caused distress</td><td style="text-align:right;padding:2px 8px">1</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Hophal</td><td style="padding:2px 8px;font-style:italic">[which] it will be formed</td><td style="text-align:right;padding:2px 8px">1</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Pual</td><td style="padding:2px 8px;font-style:italic">[which] they were ordained</td><td style="text-align:right;padding:2px 8px">1</td></tr></table><table style="border-collapse:collapse"><tr><th style="padding:2px 8px">Form</th><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="direction:rtl;padding:2px 8px">יֵצֶר</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">form</td><td style="text-align:right;padding:2px 8px">9</td></tr><tr><td style="direction:rtl;padding:2px 8px">יָצֻר</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">structure</td><td style="text-align:right;padding:2px 8px">1</td></tr><tr><td style="direction:rtl;padding:2px 8px">יִצְרִי</td><td style="padding:2px 8px">Adj</td><td style="padding:2px 8px;font-style:italic">Jitsrite</td><td style="text-align:right;padding:2px 8px">1</td></tr></table>	87	Hebrew:Root Hebrew:POS:Verb Hebrew:Stem:Qal Hebrew:Stem:Niphal Hebrew:Stem:Hiphil Hebrew:Stem:Hophal Hebrew:Stem:Pual Hebrew:POS:Nominal Hebrew:Freq:50to99
שחט	<div style="font-size:1.5em;direction:rtl;margin-bottom:8px">שָׁחַט</div><table style="border-collapse:collapse;margin-bottom:8px"><tr><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Stem</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Qal</td><td style="padding:2px 8px;font-style:italic">he will cut [the] throat of</td><td style="text-align:right;padding:2px 8px">73</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Niphal</td><td style="padding:2px 8px;font-style:italic">it has its throat cut</td><td style="text-align:right;padding:2px 8px">3</td></tr></table><table style="border-collapse:collapse"><tr><th style="padding:2px 8px">Form</th><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="direction:rtl;padding:2px 8px">שְׁחִיטָה</td><td style="padding:2px 8px">Noun (f)</td><td style="padding:2px 8px;font-style:italic">slaughter</td><td style="text-align:right;padding:2px 8px">1</td></tr></table>	87	Hebrew:Root Hebrew:POS:Verb Hebrew:Stem:Qal Hebrew:Stem:Niphal Hebrew:POS:Nominal Hebrew:Freq:50to99
שיר	<div style="font-size:1.5em;direction:rtl;margin-bottom:8px">שִׁיר</div><table style="border-collapse:collapse;margin-bottom:8px"><tr><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Stem</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Qal</td><td style="padding:2px 8px;font-style:italic">sing</td><td style="text-align:right;padding:2px 8px">49</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Hophal</td><td style="padding:2px 8px;font-style:italic">it will be sung</td><td style="text-align:right;padding:2px 8px">1</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Piel</td><td style="padding:2px 8px;font-style:italic">singers</td><td style="text-align:right;padding:2px 8px">37</td></tr></table>	87	Hebrew:Root Hebrew:POS:Verb Hebrew:Stem:Qal Hebrew:Stem:Hophal Hebrew:Stem:Piel Hebrew:Freq:50to99
